"Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM;Result"
"Gary Trent Jr.;18:01;2;5;.400;1;3;.333;0;0;;0;2;2;0;0;0;0;2;5;2.1;-4;.500;.500;.600;.000;0.0;12.1;5.4;0.0;0.0;0.0;0.0;12.1;94;112;-8.4;L"
"Ryan Rollins;5:43;1;1;1.000;0;0;;0;0;;0;0;0;1;1;0;0;0;2;3.4;1;1.000;1.000;.000;.000;0.0;0.0;0.0;25.8;8.3;0.0;0.0;7.6;208;96;14.0;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Brook Lopez;31:35:00;6;10;.600;4;8;.500;0;0;;0;4;4;4;1;2;4;1;16;13.4;22;.800;.800;.800;.000;0.0;12.4;7.5;16.0;1.5;5.4;28.6;19.4;110;101;3.9;W"
"Taurean Prince;31:06:00;3;7;.429;2;5;.400;0;0;;0;2;2;4;3;1;2;1;8;9.0;30;.571;.571;.714;.000;0.0;6.3;3.8;14.6;4.5;2.8;22.2;12.7;107;98;1.7;W"
"Giannis Antetokounmpo;28:47:00;5;8;.625;0;1;.000;1;2;.500;1;11;12;13;0;0;7;1;11;12.7;27;.619;.625;.125;.250;5.2;37.4;24.7;56.1;0.0;0.0;44.1;24.2;111;102;3.4;W"
"Damian Lillard;25:43:00;7;12;.583;5;8;.625;6;7;.857;0;5;5;3;0;0;1;0;25;21.6;20;.829;.792;.667;.583;0.0;19.0;11.5;16.5;0.0;0.0;6.2;27.4;155;106;8.5;W"
"Andre Jackson Jr.;15:57;2;3;.667;1;2;.500;0;0;;3;1;4;3;0;3;2;1;5;7.9;9;.833;.833;.667;.000;28.2;6.1;14.9;22.0;0.0;16.1;40.0;13.7;137;98;10.7;W"
"Gary Trent Jr.;23:56;6;9;.667;3;5;.600;2;2;1.000;0;3;3;1;3;0;1;3;17;15.5;14;.860;.833;.556;.222;0.0;12.3;7.4;5.7;5.9;0.0;9.2;19.9;145;95;8.1;W"
"Bobby Portis;22:46;8;12;.667;4;6;.667;0;0;;1;6;7;3;0;0;1;2;20;17.6;9;.833;.833;.500;.000;6.6;25.8;18.2;21.0;0.0;0.0;7.7;25.0;149;104;10.0;W"
"Ryan Rollins;18:21;4;8;.500;0;2;.000;2;2;1.000;0;4;4;3;0;0;1;1;10;7.9;9;.563;.500;.250;.250;0.0;21.4;12.9;21.5;0.0;0.0;10.1;23.6;119;105;-6.8;W"
"A.J. Green;13:04;2;3;.667;1;2;.500;0;0;;0;0;0;1;0;0;0;5;5;2.4;4;.833;.833;.667;.000;0.0;0.0;0.0;9.3;0.0;0.0;0.0;10.1;167;108;-5.9;W"
"MarJon Beauchamp;6:36;1;3;.333;0;2;.000;0;0;;0;0;0;0;0;1;1;1;2;-0.4;-5;.333;.333;.667;.000;0.0;0.0;0.0;0.0;0.0;13.0;25.0;26.5;48;101;-21.0;W"
"Pat Connaughton;6:36;1;2;.500;0;0;;0;0;;0;1;1;1;0;0;0;1;2;1.6;-5;.500;.500;.000;.000;0.0;14.8;9.0;18.3;0.0;0.0;0.0;13.3;127;106;-6.2;W"
"Liam Robbins;6:16;0;2;.000;0;0;;1;2;.500;1;1;2;1;0;0;1;0;1;-0.1;-5;.174;.000;.000;1.000;23.9;15.6;18.9;16.3;0.0;0.0;25.8;27.1;67;107;-20.7;W"
"Stanley Umude;5:21;1;1;1.000;1;1;1.000;0;0;;1;1;2;0;0;0;0;1;3;3.3;-4;1.500;1.500;1.000;.000;28.0;18.3;22.2;0.0;0.0;0.0;0.0;8.2;266;105;11.8;W"
"Delon Wright;3:56;1;2;.500;1;2;.500;0;0;;0;0;0;0;0;1;0;1;3;2.3;-5;.750;.750;1.000;.000;0.0;0.0;0.0;0.0;0.0;21.8;0.0;22.3;131;94;12.1;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Giannis Antetokounmpo;35:42:00;11;21;.524;0;1;.000;3;7;.429;3;13;16;8;0;1;4;1;25;21.0;13;.519;.524;.048;.333;9.2;29.6;20.9;36.8;0.0;3.1;14.2;33.8;109;103;3.9;W"
"Brook Lopez;35:23:00;8;17;.471;5;11;.455;1;1;1.000;2;5;7;1;1;2;0;3;22;18.1;7;.631;.618;.647;.059;6.2;11.5;9.2;4.1;1.4;6.3;0.0;21.2;133;105;5.6;W"
"Damian Lillard;35:20:00;8;13;.615;4;7;.571;6;6;1.000;0;5;5;8;0;0;2;1;26;24.8;8;.831;.769;.538;.462;0.0;11.5;6.6;32.8;0.0;0.0;11.3;21.4;160;113;10.1;W"
"Taurean Prince;24:22:00;1;3;.333;1;3;.333;0;0;;0;4;4;1;0;0;2;0;3;1.2;0;.500;.500;1.000;.000;0.0;13.4;7.7;4.7;0.0;0.0;40.0;8.8;66;112;-8.1;W"
"Andre Jackson Jr.;11:27;0;1;.000;0;0;;0;0;;2;0;2;0;0;0;0;0;0;0.7;-10;.000;.000;.000;.000;19.1;0.0;8.1;0.0;0.0;0.0;0.0;3.7;112;118;-7.4;W"
"A.J. Green;24:46:00;5;9;.556;4;7;.571;0;0;;0;1;1;1;1;0;0;3;14;10.5;18;.778;.778;.778;.000;0.0;3.3;1.9;5.6;2.0;0.0;0.0;15.6;152;111;5.5;W"
"Gary Trent Jr.;21:39;5;5;1.000;4;4;1.000;0;0;;0;3;3;2;2;0;0;1;14;16.4;20;1.400;1.400;.800;.000;0.0;11.3;6.5;13.5;4.5;0.0;0.0;9.9;273;102;21.7;W"
"Khris Middleton;20:50;2;7;.286;1;5;.200;3;4;.750;0;5;5;3;0;0;0;2;8;6.3;20;.457;.357;.714;.571;0.0;19.5;11.2;17.5;0.0;0.0;0.0;18.1;116;109;-4.5;W"
"Bobby Portis;19:19;2;12;.167;0;3;.000;1;2;.500;2;9;11;2;1;1;1;2;5;2.4;20;.194;.167;.250;.167;11.3;37.9;26.5;12.7;2.5;5.8;7.2;30.9;61;91;-14.7;W"
"MarJon Beauchamp;2:48;1;2;.500;0;0;;0;0;;1;0;1;0;0;0;0;0;2;1.7;-4;.500;.500;.000;.000;39.0;0.0;16.6;0.0;0.0;0.0;0.0;30.7;123;118;-2.9;W"
"Ryan Rollins;2:48;1;2;.500;0;1;.000;0;0;;0;0;0;0;1;0;0;1;2;1.6;-4;;;;;0.0;29.1;16.6;0.0;0.0;0.0;100.0;15.3;0;104;-25.7;W"
"Liam Robbins;2:48;0;0;;0;0;;0;0;;0;1;1;0;0;0;1;1;0;-1.1;-4;.500;.500;.500;.000;0.0;0.0;0.0;0.0;17.3;0.0;0.0;30.7;97;75;7.5;W"
"Stanley Umude;2:48;0;0;;0;0;;0;0;;0;1;1;0;1;0;0;1;0;0.9;-4;;;;;0.0;29.1;16.6;0.0;17.3;0.0;;0.0;0;62;10.5;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;39:41:00;9;21;.429;3;7;.429;8;9;.889;1;3;4;7;3;0;4;4;29;21.4;4;.581;.500;.333;.429;3.1;7.6;5.6;26.4;3.8;0.0;13.8;33.0;114;111;3.9;W"
"Giannis Antetokounmpo;36:32:00;19;29;.655;0;1;.000;3;10;.300;3;11;14;4;3;2;3;4;41;33.5;-3;.614;.655;.034;.345;10.1;30.1;21.1;29.1;4.1;5.7;8.2;45.1;118;99;14.1;W"
"Brook Lopez;34:24:00;2;5;.400;1;3;.333;3;4;.750;0;3;3;0;0;3;1;1;8;6.5;-3;.592;.500;.600;.800;0.0;8.7;4.8;0.0;0.0;9.1;12.9;10.2;106;114;-2.9;W"
"Taurean Prince;25:43:00;2;2;1.000;2;2;1.000;0;0;;0;1;1;0;1;0;0;2;6;5.9;-6;1.500;1.500;1.000;.000;0.0;3.9;2.1;0.0;1.9;0.0;0.0;3.5;300;116;1.9;W"
"Andre Jackson Jr.;13:24;0;1;.000;0;1;.000;0;0;;2;3;5;1;0;0;1;2;0;0.5;-7;.000;.000;1.000;.000;18.4;22.4;20.6;8.3;0.0;0.0;50.0;6.8;80;114;-8.9;W"
"Bobby Portis;25:04:00;5;9;.556;1;3;.333;0;0;;0;7;7;1;1;0;0;3;11;9.3;12;.611;.611;.333;.000;0.0;27.9;15.4;5.7;2.0;0.0;0.0;16.2;126;107;1.0;W"
"Gary Trent Jr.;23:38;1;3;.333;1;2;.500;0;0;;0;3;3;1;0;0;1;2;3;1.1;5;.500;.500;.667;.000;0.0;12.7;7.0;5.0;0.0;0.0;25.0;7.7;84;118;-8.2;W"
"Khris Middleton;22:35;5;10;.500;1;5;.200;0;0;;0;3;3;4;1;0;1;0;11;9.7;6;.550;.550;.500;.000;0.0;13.3;7.3;26.3;2.2;0.0;9.1;22.0;114;113;2.5;W"
"A.J. Green;18:59;0;3;.000;0;1;.000;0;0;;1;2;3;0;1;0;0;0;0;0.2;7;.000;.000;.333;.000;6.5;10.5;8.7;0.0;2.6;0.0;0.0;7.1;30;113;-9.2;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;37:16:00;8;17;.471;2;7;.286;4;5;.800;0;3;3;5;1;0;6;2;22;11.5;-24;.573;.529;.412;.294;0.0;11.4;4.4;19.7;1.3;0.0;23.8;28.1;95;143;-5.8;L"
"Giannis Antetokounmpo;30:56:00;10;21;.476;0;1;.000;4;10;.400;7;6;13;2;0;1;4;3;24;14.5;-20;.472;.476;.048;.476;20.1;27.4;22.9;11.3;0.0;3.3;13.6;39.5;96;141;-4.5;L"
"Brook Lopez;23:12;2;7;.286;1;5;.200;0;0;;0;1;1;3;0;1;0;0;5;4.0;-22;.357;.357;.714;.000;0.0;6.1;2.4;16.0;0.0;4.4;0.0;12.5;98;145;-3.4;L"
"Taurean Prince;23:12;1;4;.250;1;3;.333;0;0;;0;2;2;3;1;0;0;0;3;4.3;-28;.375;.375;.750;.000;0.0;12.2;4.7;15.2;2.1;0.0;0.0;7.2;112;141;-2.3;L"
"Andre Jackson Jr.;10:35;4;5;.800;1;1;1.000;0;0;;3;0;3;0;0;1;0;3;9;8.7;-19;.900;.900;.200;.000;25.2;0.0;15.5;0.0;0.0;9.6;0.0;19.6;182;142;15.0;L"
"A.J. Green;24:45:00;2;5;.400;2;5;.400;0;0;;0;2;2;1;0;0;0;4;6;3.0;-4;.600;.600;1.000;.000;0.0;11.4;4.4;5.0;0.0;0.0;0.0;8.4;132;146;-6.8;L"
"Khris Middleton;24:36:00;7;9;.778;2;4;.500;0;0;;0;0;0;5;2;0;2;3;16;14.8;1;.889;.889;.444;.000;0.0;0.0;0.0;33.3;3.9;0.0;18.2;18.6;147;139;10.2;L"
"Bobby Portis;18:58;4;7;.571;0;1;.000;0;0;;1;3;4;0;0;0;0;2;8;5.5;-19;.571;.571;.143;.000;4.7;22.3;11.5;0.0;0.0;0.0;0.0;15.3;123;144;-5.9;L"
"Pat Connaughton;15:59;3;6;.500;0;3;.000;2;2;1.000;2;3;5;2;0;0;0;1;8;8.3;-7;.581;.500;.500;.333;11.1;26.5;17.1;17.7;0.0;0.0;0.0;17.9;142;143;2.7;L"
"MarJon Beauchamp;11:19;2;5;.400;1;2;.500;0;0;;1;1;2;0;1;0;0;0;5;4.3;-8;.500;.500;.400;.000;7.9;12.5;9.6;0.0;4.3;0.0;0.0;18.4;114;136;1.0;L"
"Delon Wright;6:52;0;4;.000;0;1;.000;0;0;;0;1;1;1;1;0;0;0;0;-0.8;-8;.000;.000;.250;.000;0.0;20.6;7.9;16.3;7.1;0.0;0.0;24.2;18;128;-17.1;L"
"Liam Robbins;6:10;0;1;.000;0;1;.000;0;0;;1;0;1;0;0;0;1;1;0;-1.4;-6;.000;.000;1.000;.000;14.4;0.0;8.8;0.0;0.0;0.0;50.0;13.5;31;148;-23.5;L"
"Stanley Umude;6:10;0;3;.000;0;0;;0;0;;0;2;2;0;0;0;1;1;0;-2.9;-6;.000;.000;.000;.000;0.0;45.8;17.7;0.0;0.0;0.0;25.0;27.0;0;140;-35.6;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Giannis Antetokounmpo;36:39:00;14;23;.609;0;2;.000;5;7;.714;1;10;11;13;0;2;3;3;33;31.7;30;.633;.609;.087;.304;2.8;26.2;14.9;55.5;0.0;4.9;10.3;32.9;133;109;15.7;W"
"Damian Lillard;35:06:00;8;15;.533;5;8;.625;3;3;1.000;0;5;5;7;0;1;2;2;24;21.0;14;.735;.700;.533;.200;0.0;13.7;7.0;25.2;0.0;2.6;10.9;21.6;140;114;7.0;W"
"Brook Lopez;33:25:00;8;15;.533;3;7;.429;2;3;.667;0;5;5;2;1;0;0;3;21;16.0;8;.643;.633;.467;.200;0.0;14.4;7.4;7.7;1.4;0.0;0.0;20.2;132;113;2.7;W"
"Taurean Prince;22:51;3;4;.750;3;4;.750;0;0;;0;5;5;3;0;0;0;4;9;9.4;26;1.125;1.125;1.000;.000;0.0;21.0;10.8;14.8;0.0;0.0;0.0;7.2;216;114;6.4;W"
"Andre Jackson Jr.;14:05;1;2;.500;0;1;.000;0;0;;2;1;3;0;0;0;0;3;2;1.5;-5;.500;.500;.500;.000;14.5;6.8;10.5;0.0;0.0;0.0;0.0;5.9;144;118;-8.0;W"
"A.J. Green;30:05:00;5;13;.385;4;12;.333;2;2;1.000;2;2;4;1;0;0;0;2;16;10.8;9;.576;.538;.923;.154;6.8;6.4;6.6;3.9;0.0;0.0;0.0;19.1;127;118;-1.4;W"
"Bobby Portis;20:54;4;9;.444;0;2;.000;0;0;;2;7;9;1;0;0;0;1;8;7.1;4;.444;.444;.222;.000;9.8;32.2;21.3;5.8;0.0;0.0;0.0;17.8;109;112;-5.1;W"
"Ryan Rollins;19:19;4;9;.444;1;4;.250;1;1;1.000;0;3;3;0;1;0;2;1;10;4.8;8;.530;.500;.444;.111;0.0;14.9;7.7;0.0;2.4;0.0;17.5;24.5;84;110;-8.2;W"
"Pat Connaughton;17:32;2;3;.667;1;2;.500;0;0;;1;2;3;5;0;0;0;1;5;8.1;5;.833;.833;.667;.000;5.8;11.0;8.5;31.4;0.0;0.0;0.0;7.1;195;117;9.4;W"
"MarJon Beauchamp;2:31;0;2;.000;0;1;.000;2;2;1.000;0;1;1;0;0;0;0;0;2;0.9;-6;.347;.000;.500;1.000;0.0;38.1;19.7;0.0;0.0;0.0;0.0;47.4;83;110;-21.4;W"
"Chris Livingston;2:31;0;0;;0;0;;0;0;;1;0;1;0;0;0;0;0;0;0.7;-6;;;;;40.6;0.0;19.7;0.0;0.0;0.0;;0.0;232;120;-0.4;W"
"Liam Robbins;2:31;0;1;.000;0;0;;0;0;;0;0;0;0;0;1;0;1;0;-0.4;-6;.000;.000;.000;.000;0.0;0.0;0.0;0.0;0.0;36.0;0.0;16.5;0;91;-16.4;W"
"Stanley Umude;2:31;0;3;.000;0;2;.000;0;0;;2;0;2;0;0;0;0;0;0;-0.7;-6;.000;.000;.667;.000;81.2;0.0;39.3;0.0;0.0;0.0;0.0;49.4;57;120;-47.3;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Brook Lopez;31:12:00;5;7;.714;0;1;.000;3;3;1.000;0;5;5;2;0;5;1;5;13;13.5;16;.781;.714;.143;.429;0.0;14.0;9.5;8.2;0.0;15.7;10.7;13.2;143;87;5.9;W"
"Damian Lillard;30:29:00;13;19;.684;3;3;1.000;1;1;1.000;0;5;5;4;4;0;3;1;30;26.8;27;.772;.763;.158;.053;0.0;14.3;9.7;25.7;6.0;0.0;13.4;32.6;130;84;14.0;W"
"Giannis Antetokounmpo;29:51:00;11;15;.733;0;0;;4;8;.500;0;11;11;4;1;0;6;0;26;19.4;25;.702;.733;.000;.533;0.0;32.2;21.8;23.6;1.5;0.0;24.5;36.4;106;88;2.9;W"
"Taurean Prince;20:23;1;2;.500;1;1;1.000;2;2;1.000;0;1;1;1;0;0;0;2;5;4.2;10;.868;.750;.500;1.000;0.0;4.3;2.9;5.5;0.0;0.0;0.0;6.3;180;100;0.3;W"
"Andre Jackson Jr.;15:05;0;1;.000;0;0;;0;0;;0;3;3;2;1;0;2;1;0;0.2;2;.000;.000;.000;.000;0.0;17.4;11.8;14.1;3.0;0.0;66.7;8.8;41;89;-3.4;W"
"Bobby Portis;23:27;4;6;.667;2;3;.667;4;4;1.000;1;7;8;0;0;1;2;3;14;11.7;16;.902;.833;.500;.667;7.9;26.1;20.2;0.0;0.0;4.2;20.5;18.4;140;90;3.7;W"
"Khris Middleton;21:07;5;8;.625;0;1;.000;4;6;.667;0;2;2;6;2;0;0;1;14;16.0;19;.658;.625;.125;.750;0.0;8.3;5.6;40.5;4.3;0.0;0.0;22.3;149;89;12.2;W"
"A.J. Green;16:38;0;3;.000;0;1;.000;2;3;.667;1;4;5;0;0;0;0;2;2;0.6;24;.231;.000;.333;1.000;11.1;21.0;17.8;0.0;0.0;0.0;0.0;11.5;69;95;-10.8;W"
"Ryan Rollins;15:17;3;4;.750;0;0;;0;0;;0;3;3;2;0;2;2;1;6;5.7;3;.750;.750;.000;.000;0.0;17.1;11.6;17.7;0.0;12.8;33.3;17.4;104;88;3.7;W"
"Pat Connaughton;11:20;1;2;.500;0;0;;1;2;.500;0;1;1;1;0;0;1;1;3;1.2;-2;.521;.500;.000;1.000;0.0;7.7;5.2;10.4;0.0;0.0;25.8;15.2;88;99;-7.2;W"
"Delon Wright;6:51;0;2;.000;0;1;.000;0;0;;0;0;0;2;1;1;1;0;0;0.7;-1;.000;.000;.500;.000;0.0;0.0;0.0;31.1;6.7;14.3;33.3;19.4;42;78;1.6;W"
"Chris Livingston;5:39;0;0;;0;0;;0;0;;0;3;3;0;0;0;1;1;0;-0.5;0;;;;;0.0;46.3;31.5;0.0;0.0;0.0;100.0;7.8;0;86;-9.0;W"
"Liam Robbins;5:30;0;0;;0;0;;3;4;.750;1;0;1;0;1;0;2;2;3;1.5;2;.852;;;;33.6;0.0;10.8;0.0;8.3;0.0;53.2;30.3;98;82;-8.5;W"
"MarJon Beauchamp;4:57;2;3;.667;1;1;1.000;1;2;.500;0;1;1;0;0;0;0;0;6;4.6;5;.773;.833;.333;.667;0.0;17.6;12.0;0.0;0.0;0.0;0.0;34.7;140;96;11.2;W"
"Stanley Umude;2:14;0;0;;0;0;;0;0;;0;0;0;0;0;1;0;0;0;0.7;-1;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;35:51:00;6;14;.429;4;7;.571;10;10;1.000;0;3;3;8;2;1;0;3;26;26.6;11;.707;.571;.500;.714;0.0;8.7;4.6;31.5;2.7;2.3;0.0;21.8;165;111;12.7;W"
"Giannis Antetokounmpo;35:24:00;12;20;.600;0;1;.000;11;18;.611;4;9;13;3;1;1;6;3;35;25.1;14;.627;.600;.050;.900;13.2;26.5;20.3;15.8;1.4;2.4;17.7;40.7;113;108;0.6;W"
"Brook Lopez;34:12:00;3;7;.429;1;3;.333;2;2;1.000;2;5;7;5;0;2;2;3;9;9.9;10;.571;.500;.429;.286;6.8;15.3;11.3;18.6;0.0;4.9;20.2;12.3;122;113;1.5;W"
"Taurean Prince;22:44;3;6;.500;1;3;.333;2;2;1.000;1;1;2;1;0;0;1;3;9;5.5;8;.654;.583;.500;.333;5.1;4.6;4.9;5.9;0.0;0.0;12.7;14.7;127;119;-4.3;W"
"Ryan Rollins;16:15;3;5;.600;0;1;.000;1;2;.500;2;0;2;1;0;0;0;3;7;5.2;12;.595;.600;.200;.400;14.4;0.0;6.8;8.9;0.0;0.0;0.0;15.4;142;120;-3.8;W"
"Gary Trent Jr.;24:47:00;4;8;.500;2;5;.400;0;0;;0;3;3;1;2;0;0;2;10;8.8;9;.625;.625;.625;.000;0.0;12.6;6.7;5.7;3.9;0.0;0.0;13.7;132;108;2.7;W"
"Khris Middleton;23:52;4;6;.667;2;3;.667;3;3;1.000;1;2;3;5;1;1;0;2;13;16.1;9;.888;.833;.500;.500;4.9;8.7;6.9;29.6;2.0;3.5;0.0;13.0;195;111;14.5;W"
"Bobby Portis;23:28;5;11;.455;1;4;.250;4;4;1.000;1;5;6;0;0;0;3;1;15;8.1;9;.588;.500;.364;.364;5.0;22.2;14.1;0.0;0.0;0.0;19.0;28.5;100;114;-8.4;W"
"A.J. Green;19:26;2;4;.500;2;4;.500;0;0;;0;4;4;1;1;0;1;3;6;4.7;4;.750;.750;1.000;.000;0.0;21.5;11.4;6.7;2.5;0.0;20.0;10.9;118;108;0.4;W"
"Chris Livingston;1:51;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;0.3;2;;;;;0.0;56.4;29.8;0.0;0.0;0.0;;0.0;0;104;0.1;W"
"Liam Robbins;1:05;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;121;-3.9;W"
"Stanley Umude;1:05;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;121;-3.8;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
